#TYPE Selected.System.Management.Automation.PSCustomObject
"Name"
"PRD-EXMB01"
"PRD-EXCAS01"
"PRD-EXMB02"
"PRD-EXMB03"
"PRD-EXMB04"
"PRD-EXMB06"
"PRD-EXMB07"
"PRD-EXMB08"
"PRD-EXCAS04"
"PRD-EXCAS02"
"PRD-EXCAS03"
"PRD-EXMB05"
"PRD-EXMB09"
"PRD-EXHYBRID02"
"PRD-EXHYBRID01"
"PRD-EXMB11"
"PRD-XMBTERM01"
"PRD-XMBSARC01"
"PRD-XMBCARC01"
"PRD-XMBSARC02"
"PRD-XMBTERM02"
"PRD-XMBEAST01"
"PRD-XMBSARC03"
"PRD-XMBCARC02"
"PRD-XMBCST01"
"PRD-XMBSARC04"
"PRD-XMBSARC05"
